ID	pore_intensity	pore_sigma	mac1_X	mac1_Y	mac1_threshold	mac1_sigma	mac1_median	mac1_eNoise	mac1_CS_sigma	mac1_CS_height	mac1_CS_length	mac1_CS_intensity	mac2_X	mac2_Y	mac2_sigma	mac2_threshold	mac2_rWalk	bg_deposition	unit_D_0	pttn1_deposition	unit_D_1	pttn2_deposition	unit_D_2	copy1_deposition	unit_D_3	copy2_deposition	unit_D_N	egg_exposure	egg_smudge	unit_P_0	bg_pigment	unit_P_1	pttn1_pigment	unit_P_2	pttn2_pigment	unit_P_N	Parent1	Parent2
Gen0_Mut0_ID0	0.0032	0.4989	0.5084	0.5035	0.7317	0.0302	0.4899	0.0302	0.0077	0.0204	0.8661	0.6867	0.8849	0.3031	0.3397	0.7317	0.4924	0.7161	0.7161	0.7161	0.7161	0.7161	0.7161	0.8849	0.7161	0.3031	0.7161	0.7161	0.7161	0.7161	0.3031	0.7161	0.3397	0.7161	0.4924	0.7161	none	none
Gen0_Mut0_ID1	0.2716	0.7744	0.532	0.9833	0.4524	0.2497	0.8383	0.2497	0.4831	0.0877	0.7917	0.2949	0.5722	0.1956	0.1602	0.4524	0.6363	0.5224	0.5224	0.5224	0.5224	0.5224	0.5224	0.5722	0.5224	0.1956	0.5224	0.5224	0.5224	0.5224	0.1956	0.5224	0.1602	0.5224	0.6363	0.5224	none	none
Gen0_Mut0_ID2	0.3541	0.996	0.8081	0.4453	0.213	0.254	0.2195	0.254	0.6929	0.5144	0.8582	0.0215	0.8279	0.1206	0.4009	0.213	0.8706	0.7082	0.7082	0.7082	0.7082	0.7082	0.7082	0.8279	0.7082	0.1206	0.7082	0.7082	0.7082	0.7082	0.1206	0.7082	0.4009	0.7082	0.8706	0.7082	none	none
Gen0_Mut0_ID3	0.3481	0.4246	0.526	0.0339	0.8713	0.749	0.756	0.749	0.0076	0.7873	0.7592	0.704	0.1656	0.7977	0.429	0.8713	0.3434	0.4415	0.4415	0.4415	0.4415	0.4415	0.4415	0.1656	0.4415	0.7977	0.4415	0.4415	0.4415	0.4415	0.7977	0.4415	0.429	0.4415	0.3434	0.4415	none	none
Gen0_Mut0_ID4	0.0653	0.4834	0.7759	0.5191	0.4171	0.804	0.6792	0.804	0.1987	0.9052	0.4897	0.6774	0.42	0.262	0.9313	0.4171	0.7275	0.8685	0.8685	0.8685	0.8685	0.8685	0.8685	0.42	0.8685	0.262	0.8685	0.8685	0.8685	0.8685	0.262	0.8685	0.9313	0.8685	0.7275	0.8685	none	none
Gen0_Mut0_ID5	0.5836	0.0882	0.5932	0.3961	0.0301	0.9232	0.5586	0.9232	0.7519	0.2723	0.5316	0.6759	0.6694	0.5202	0.9009	0.0301	0.9972	0.8429	0.8429	0.8429	0.8429	0.8429	0.8429	0.6694	0.8429	0.5202	0.8429	0.8429	0.8429	0.8429	0.5202	0.8429	0.9009	0.8429	0.9972	0.8429	none	none
Gen0_Mut0_ID6	0.8544	0.3683	0.5248	0.4883	0.6076	0.1524	0.8658	0.1524	0.2554	0.6134	0.0327	0.4121	0.6354	0.8753	0.983	0.6076	0.5796	0.1746	0.1746	0.1746	0.1746	0.1746	0.1746	0.6354	0.1746	0.8753	0.1746	0.1746	0.1746	0.1746	0.8753	0.1746	0.983	0.1746	0.5796	0.1746	none	none
Gen0_Mut0_ID7	0.0257	0.4661	0.4378	0.5806	0.0896	0.0854	0.6182	0.0854	0.8362	0.3217	0.8869	0.9826	0.0494	0.2521	0.4783	0.0896	0.0461	0.158	0.158	0.158	0.158	0.158	0.158	0.0494	0.158	0.2521	0.158	0.158	0.158	0.158	0.2521	0.158	0.4783	0.158	0.0461	0.158	none	none
Gen0_Mut0_ID8	0.0937	0.2385	0.4305	0.3395	0.3675	0.547	0.5467	0.547	0.7296	0.554	0.5455	0.2594	0.7083	0.5977	0.4694	0.3675	0.9354	0.958	0.958	0.958	0.958	0.958	0.958	0.7083	0.958	0.5977	0.958	0.958	0.958	0.958	0.5977	0.958	0.4694	0.958	0.9354	0.958	none	none
Gen0_Mut0_ID9	0.2716	0.7744	0.532	0.9833	0.4524	0.2497	0.8383	0.2497	0.4831	0.0877	0.7917	0.2949	0.5722	0.1956	0.1602	0.4524	0.4363	0.5779	0.5779	0.5779	0.5779	0.5779	0.5779	0.5722	0.5779	0.1956	0.5779	0.5779	0.5779	0.5779	0.1956	0.5779	0.1602	0.5779	0.4363	0.5779	none	none
