ID	speckling_intensity	speckling_sigma	pttn_x	pttn_y	pttn_width	pttn_aspect_ratio	pttn_angle	pttn_coverage	pttn_CS_sigma	pttn_CS_height	pttn_CS_angle	pttn_E_sigma	pttn_E_noise	EE_intensity	EE_sigma	unit_C_0	pttn_L	pttn_A	pttn_B	unit_C_1	top_L	top_A	top_B	unit_C_2	bottom_L	bottom_A	bottom_B	unit_C_N	col_sigma	col_height	Parent1	Parent2
Gen1_Mut1_ID4	0.072900000	0.374400000	0.333300000	0.060900000	0.039800000	0.854700000	0.839800000	0.535300000	0.707900000	0.829000000	0.627100000	0.212400000	0.508900000	0.485400000	0.793600000	0.848200000	0.781800000	0.254700000	0.384200000	0.802100000	0.788900000	0.378157420	0.830800000	0.347529743	0.169900000	0.375900000	0.226017589	0.474800000	0.043930000	0.483200000	Par_Gen0_Mut0_ID1	Par_Gen0_Mut0_ID7
Gen1_Mut1_ID3	0.432300000	0.729800000	0.340900000	0.275696522	0.370400000	0.971987745	0.831215403	0.465600000	0.415700000	0.500400000	0.752300000	0.490200000	0.342800000	0.106500000	0.339600000	0.752200000	0.397300000	0.972300000	0.172200000	0.208500000	0.188500000	0.796100000	0.162200000	0.920400000	0.565500000	0.550500000	0.183500000	0.201100000	0.036600000	0.837600000	Par_Gen0_Mut0_ID12	Par_Gen0_Mut0_ID18
Gen0_Mut1_ID1	0.245130317	0.374400000	0.333300000	0.060900000	0.039800000	0.854700000	0.839800000	0.535300000	0.190100000	0.997500000	0.079300000	0.771800000	0.919100000	0.649000000	0.149100000	0.710717698	0.216400000	0.326700000	0.190600000	0.778000000	0.061500000	0.120200000	0.458600000	0.765300000	0.116200000	0.814500000	0.385300000	0.503300000	0.727700000	0.256598873	none	none
Gen1_Mut1_ID1	0.641700000	0.350200000	0.350900000	0.500100000	0.474300000	0.048300000	0.788000000	0.209300000	0.486300000	0.242200000	0.408600000	0.230300000	0.649800000	0.100300000	0.134400000	0.722500000	0.784900000	0.890793068	0.092870000	0.393500000	0.060610000	0.374800000	0.068900000	0.112600000	0.834800000	0.130800000	0.926600000	0.523000000	1.000000000	0.683600000	Par_Gen0_Mut0_ID0	Par_Gen0_Mut0_ID6
Gen1_Mut1_ID0	0.175600000	0.592400000	0.517700000	0.575900000	0.668700000	0.712400000	0.427700000	0.474300000	0.647800000	0.162600000	0.785800000	0.939800000	0.291600000	0.742800000	0.543700000	0.539600000	0.508700000	0.657000000	0.318600000	0.631100000	0.807400000	0.211900000	0.367300000	0.270600000	0.375400000	0.181000000	0.889200000	0.374800000	0.897800000	0.751800000	Par_Gen0_Mut0_ID0	Par_Gen0_Mut0_ID6
Gen1_Mut1_ID2	0.890500000	0.684200000	0.774400000	0.918200000	0.185200000	0.242584803	0.326900000	0.384800000	0.561400000	0.033500000	0.806500000	0.817800000	0.132400000	0.723900000	0.901400000	0.486000000	0.017000000	0.655200000	0.255300000	0.849300000	0.170200000	0.083300000	0.470200000	0.630100000	0.056200000	0.344500000	0.344900000	0.785200000	0.567300000	0.474500000	Par_Gen0_Mut0_ID12	Par_Gen0_Mut0_ID18
Gen2_Mut0_ID0	0.945500000	0.409500000	0.305000000	0.144800000	0.589200000	0.820100000	0.839200000	0.459100000	0.642700000	0.166700000	0.790600000	0.913800000	0.318700000	0.729900000	0.557200000	0.722800000	0.677200000	0.780900000	0.156300000	0.804000000	0.834800000	0.436200000	0.852300000	0.606900000	0.171800000	0.283800000	0.064200000	0.768300000	0.528400000	0.475600000	Par_Gen0_Mut0_ID7	Par_Gen1_Mut0_ID11
Gen2_Mut0_ID1	0.413600000	0.732000000	0.318100000	0.278900000	0.373400000	0.476100000	0.107200000	0.125100000	0.745600000	0.808800000	0.649500000	0.199500000	0.466300000	0.490300000	0.809600000	0.846400000	0.796700000	0.307900000	0.337800000	0.419100000	0.051950000	0.375200000	0.083980000	0.263400000	0.371400000	0.183200000	0.344900000	0.490900000	0.069950000	0.486200000	Par_Gen0_Mut0_ID7	Par_Gen1_Mut0_ID11
Gen2_Mut0_ID2	0.074500000	0.806000000	0.876200000	0.297800000	0.473172198	0.456300000	0.726927032	0.212500000	0.722400000	0.668000000	0.708000000	0.026300000	0.476900000	0.454900000	0.793100000	0.845600000	0.742800000	0.301900000	0.458800000	0.789000000	0.806500000	0.450200000	0.820600000	0.633900000	0.353400000	0.455300000	0.074800000	0.371800000	0.691300000	0.835200000	Par_Gen0_Mut1_ID21	Par_Gen1_Mut0_ID9
Gen2_Mut0_ID3	0.909200000	0.682000000	0.314800000	0.157100000	0.574300000	0.307400000	0.028230000	0.117700000	0.290800000	0.701200000	0.649300000	0.188600000	0.114600000	0.518000000	0.882600000	0.834900000	0.485400000	0.273200000	0.769500000	0.732500000	0.847600000	0.151800000	0.075350000	0.312900000	0.387300000	0.813200000	0.186800000	0.460500000	0.031460000	0.498300000	Par_Gen0_Mut1_ID21	Par_Gen1_Mut0_ID9
Gen2_Mut0_ID4	0.641700000	0.350200000	0.503300000	0.383500000	0.465100000	0.147000000	0.500700000	0.104800000	0.736400000	0.471600000	0.901500000	0.962200000	0.990400000	0.220400000	0.134400000	0.534600000	0.504300000	0.650400000	0.327100000	0.638500000	0.823700000	0.207600000	0.416900000	0.272700000	0.834800000	0.130800000	0.926600000	0.523000000	0.963200000	0.784000000	Par_Gen0_Mut0_ID6	Par_Gen0_Mut1_ID10
Gen2_Mut0_ID5	0.400600000	0.082600000	0.353100000	0.494200000	0.474100000	0.050080000	0.734600000	0.207900000	0.505900000	0.246300000	0.433300000	0.254900000	0.659400000	0.102100000	0.668700000	0.081400000	0.995000000	0.929500000	0.476300000	0.204100000	0.422600000	0.688900000	0.476400000	0.999000000	0.915600000	0.231500000	0.708700000	0.314200000	0.443900000	0.547300000	Par_Gen0_Mut0_ID6	Par_Gen0_Mut1_ID10
Gen2_Mut0_ID6	0.909200000	0.731400000	0.318000000	0.276600000	0.379200000	0.947500000	0.028230000	0.117700000	0.747900000	0.701200000	0.649300000	0.188600000	0.499100000	0.454000000	0.787300000	0.846700000	0.764600000	0.316900000	0.377100000	0.430500000	0.274800000	0.379800000	0.196700000	0.283200000	0.359800000	0.190800000	0.334200000	0.460500000	0.031460000	0.498300000	Par_Gen1_Mut0_ID9	Par_Gen1_Mut0_ID11
Gen2_Mut0_ID7	0.413600000	0.682600000	0.314900000	0.159400000	0.568500000	0.322400000	0.924000000	0.474200000	0.636400000	0.158200000	0.795700000	0.936500000	0.283900000	0.741500000	0.550400000	0.721000000	0.675900000	0.836700000	0.106400000	0.779700000	0.578200000	0.450000000	0.720200000	0.619100000	0.207800000	0.337700000	0.083470000	0.785200000	0.567300000	0.474500000	Par_Gen1_Mut0_ID9	Par_Gen1_Mut0_ID11
Gen2_Mut0_ID8	0.945500000	0.409500000	0.494700000	0.367400000	0.476300000	0.155000000	0.432600000	0.103500000	0.755800000	0.510200000	0.921800000	0.962200000	0.980900000	0.478700000	0.816400000	0.848200000	0.798000000	0.252100000	0.387700000	0.804000000	0.834800000	0.681600000	0.480800000	0.987300000	0.891400000	0.283800000	0.064200000	0.474000000	0.031100000	0.487300000	Par_Gen0_Mut0_ID7	Par_Gen0_Mut1_ID10
Gen2_Mut0_ID9	0.400600000	0.082600000	0.315800000	0.155000000	0.577800000	0.327500000	0.037180000	0.109900000	0.752100000	0.782800000	0.648800000	0.201400000	0.520200000	0.222200000	0.668700000	0.081400000	0.995000000	0.929500000	0.476300000	0.204100000	0.422600000	0.443500000	0.847900000	0.618600000	0.196000000	0.231500000	0.708700000	0.314200000	0.443900000	0.547300000	Par_Gen0_Mut0_ID7	Par_Gen0_Mut1_ID10
Gen2_Mut0_ID10	0.074500000	0.806000000	0.876200000	0.297800000	0.473172198	0.456300000	0.726927032	0.212500000	0.265300000	0.668000000	0.708000000	0.026300000	0.092400000	0.518900000	0.888400000	0.833800000	0.463600000	0.258200000	0.851200000	0.730387619	0.824400000	0.206200000	0.384500000	0.274700000	0.826700000	0.184500000	0.188800000	0.371800000	0.691300000	0.785000000	Par_Gen0_Mut1_ID21	Par_Gen0_Mut0_ID6
Gen2_Mut0_ID11	0.641700000	0.350200000	0.350900000	0.500100000	0.474300000	0.048300000	0.788000000	0.209300000	0.486300000	0.242200000	0.408600000	0.230300000	0.649800000	0.100300000	0.134400000	0.534600000	0.504300000	0.650400000	0.327100000	0.638500000	0.852300000	0.148800000	0.095390000	0.305900000	0.552600000	0.869500000	0.926600000	0.523000000	0.963200000	0.834200000	Par_Gen0_Mut1_ID21	Par_Gen0_Mut0_ID6
